Date,RGDP,HICP,M1,M3,LNFC,LHH,LNFPS,LRNFCSPR,LRHHSPR,LRNFPSSPR,CRSPR,YC3M,YC1Y,YC2Y,YC3Y,YC2YW,YCEONIA,EATEDSPR,STP,USDEUROXRATE,NEER,VSTOXX,FCIBME,FCIVAR,FCIIPA,FCIBBG,FCIGS,CISS,CISSnew,OILPUSD,GAPPEURUSD,RAWMATPUSD,IP,UR,EMPL,RETTRADE,EUROCOIN,ESI,INDCONF,CSTRCONF,STOASSESS,BCI,CONCONF,RETCONF,SERVCONF,PMIMAN,PMICOMP
Aug-91,618296,63,51.1,58.3,1545683.2,1491679.9,3037363,1,1.7,1.3,0.5,-0.2,,-0.2,-0.3,,,1.1,103.7,1.2,,,,,,,,0.07,0.12,19.367,2.98,60.51,81.886,7.961,126563.538,,,94,-11.1,-17.567,13.196,-0.958,-11.288,-4.185,,,
Sep-91,619590,63.1,51,58.6,1553986.1,1499156.3,3053142.4,1.1,1.9,1.5,0.5,-0.3,,-0.2,-0.3,,,1,104.8,1.2,,,,,,,,0.048,0.113,20.05,2.97,61.131,82.011,8.013,126561.732,,,93.7,-12.66,-19.451,14.026,-1.015,-9.696,-4.387,,,
Oct-91,621529,63.3,51,59,1567696.2,1508143.5,3075839.8,1.1,1.9,1.5,0.5,-0.4,,-0.2,-0.4,,,0.9,102.4,1.2,,,,,,,,0.053,0.034,21.467,2.71,60.792,82.366,8.063,126507,,,93.7,-12.158,-19.839,13.918,-0.971,-10.101,-4.267,,,
Nov-91,626677,63.7,51.4,59.5,1581409.6,1515531,3096940.6,0.9,1.7,1.3,0.6,-0.5,,-0.2,-0.4,,,1,101.6,1.2,,,,,,,,0.1,0.049,20.767,2.7,59.16,83.362,8.104,126482.072,,,94.1,-12.091,-19.363,13.818,-1.008,-9.863,-2.224,,,
Dec-91,626482,63.7,51.8,59.9,1595042.6,1522438.6,3117481.2,0.4,1.2,0.8,0.9,-1,,-0.4,-0.5,,,1.3,97.9,1.3,,,,,,,,0.09,0.043,17.75,2.7,58.949,82.947,8.113,126453.757,,,93.6,-13.206,-13.338,15.013,-1.079,-9.941,-3.423,,,
Jan-92,633627,63.8,51.5,60,1610788.4,1534119.3,3144907.8,0.7,1.5,1.1,0.8,-1,,-0.4,-0.5,,,1.1,103.8,1.3,,,,,,,,0.1,0.137,17.383,2.57,59.282,83.621,8.14,126345.522,,,92.4,-12.768,-16.658,14.379,-1.092,-11.199,-7.858,,,
Feb-92,636489,64.1,51.5,60.3,1623767.9,1546512.6,3170280.5,0.7,1.2,1,0.7,-1.1,,-0.4,-0.4,,,1.1,107.3,1.2,,,,,,,,0.089,0.096,17.617,2.5,60.463,83.902,8.187,126294.584,,,93.6,-12.657,-17.983,14.312,-1.065,-10.293,-1.716,,,
Mar-92,633347,64.3,51.9,60.7,1634499.9,1555580.7,3190080.5,0.6,1.2,0.9,0.7,-1.2,,-0.5,-0.5,,,1,108.2,1.2,,,,,,,,0.052,0.039,17.45,2.58,60.02,83.038,8.247,126192.042,,,91.9,-13.35,-23.991,14.275,-1.115,-10.698,-6.441,,,
Apr-92,631258,64.5,52.2,61.3,1644050.7,1565731.5,3209782.1,0.7,1.3,1,0.7,-1.1,,-0.5,-0.5,,,1,108.2,1.2,,,,,,,,0.061,0.038,18.633,2.47,61.187,82.93,8.329,126080.912,,,89.6,-14.517,-25.009,16.069,-1.202,-12.074,-8.464,,,
May-92,629696,64.7,52.5,61.8,1655854.4,1575499,3231353.4,0.7,1.3,1,1,-1.2,,-0.5,-0.6,,,0.9,109.8,1.3,,,,,,,,0.057,0.045,19.5,2.49,62.034,82.429,8.406,125973.528,,,89.5,-14.55,-26.199,14.411,-1.252,-12.819,-11.983,,,
Jun-92,627836,64.8,52.3,62.2,1661700.2,1580733.3,3242433.5,0.5,1.1,0.7,1.2,-1.2,,-0.5,-0.5,,,1.2,107.4,1.3,,,,,,,,0.049,0.064,20.833,2.5,61.709,81.63,8.491,125854.028,,,88.7,-15.431,-24.117,15.357,-1.291,-12.777,-15.677,,,
Jul-92,626493,64.9,52.5,62.6,1668244,1589292.6,3257536.6,0.1,0.6,0.4,1.1,-1.5,,-0.7,-0.8,,,1.7,100.8,1.4,,,,,,,,0.082,0.111,20.167,2.55,61.511,80.431,8.634,125416.442,,,86.1,-17.712,-29.842,17.708,-1.403,-12.521,-18.512,,,
Aug-92,628440,65,52.6,62.8,1686959.3,1600897.3,3287856.6,0.3,0.5,0.4,1.5,-1.5,,-0.8,-0.9,,,1.7,94.9,1.4,,,,,,,,0.105,0.148,19.617,2.56,60.308,80.434,8.742,125274.617,,,84.3,-19.364,-29.718,17.291,-1.49,-13.545,-19.783,,,
Sep-92,627537,65.2,53.2,63.7,1693612,1608046,3301658,-0.3,-0.1,-0.2,1.2,-2.2,,-0.9,-0.9,,,2.8,96,1.4,,,,,,,,0.16,0.414,20.15,2.57,60.026,79.693,8.852,125167.604,,,80.6,-22.088,-30.371,18.012,-1.772,-15.399,-25.957,,,
Oct-92,629929,65.4,53.4,63.8,1700855.2,1615261.1,3316116.2,0.2,0.3,0.3,1.2,-1.2,,0,-0.2,,,2.5,94,1.3,,,,,,,,0.229,0.561,20.083,2.63,59.669,79.892,8.953,124845.966,,,77.1,-25.618,-40.017,19.55,-2.005,-16.568,-21.972,,,
Nov-92,627513,65.6,54,64.3,1708351.3,1621001.6,3329353,0.6,0.6,0.6,0.6,-1,,0.2,0,,,2,97.6,1.2,,,,,,,,0.139,0.221,18.883,2.64,60.23,79.085,9.069,124793.674,,,74.4,-27.962,-37.768,22.064,-2.203,-17.203,-23.348,,,
Dec-92,621967,65.7,53.9,64.4,1715723.4,1626055.7,3341779.2,0.1,0.2,0.2,0.7,-1.3,,0.2,0,,,2.2,97.9,1.2,,,,,,,,0.115,0.104,17.933,2.64,60.06,77.71,9.191,124756.212,,,74,-29.008,-29.062,22.368,-2.306,-18.057,-24.206,,,
Jan-93,623869,66,53.7,64.6,1720874.8,1636846.4,3357721.2,-0.1,0.4,0.1,0.4,-1.2,,0.2,0.1,,,2.3,100.8,1.2,74.1,,,,,,,0.085,0.116,17.217,2.76,60.483,78.181,9.538,124507.425,,,71.6,-29.794,-37.727,24.015,-2.433,-18.92,-27.646,,,
Feb-93,621384,66.2,53.8,65,1723558.2,1648188.5,3371746.7,0.3,0.5,0.4,0.7,-1.1,,0.3,0.3,,,2.1,106.9,1.2,74.3,,,,,,,0.124,0.144,18.167,2.74,62.872,77.509,9.683,124471.619,,,72.9,-29.684,-35.752,22.342,-2.511,-18.501,-28.407,,,
Mar-93,621817,66.4,54.3,65.8,1723392.5,1656254.5,3379646.9,0.4,0.4,0.4,0.3,-1.1,,0.4,0.4,,,2.3,110.9,1.2,74.3,,,,,,,0.06,0.075,18.467,2.75,64.953,77.185,9.863,124445.694,,,73.1,-28.903,-37.366,22.383,-2.392,-19.002,-25.251,,,
